날짜,상품,분류,매출
20260420,만다린 귤 1kg,과채,4864560
20260420,게리 크래커 - 치즈맛(100g),간식/과자/떡,371430
20260420,게리 크래커 - 코코넛맛(105g),간식/과자/떡,168300
20260420,글루타치온 뷰티라이프 1곽(30포),건강식품,495300
20260420,브레인 포스파티딜세린 300 (15포),건강식품,456300
20260420,국내산 순살족발 1팩(300g),간편식품,762370
20260420,국내산 알타리 김치 1kg,과채,663900
20260421,국내산 백오이 1봉 (4개입),과채,607460
20260421,골드실 리프팅 마스크 1개 (100ml),뷰티,519500
20260421,진저유자 콤부차 1병(250ml),음료,130000
20260421,진저유자 콤부차 20병(1박스),음료,568000
20260422,국내산 땡초 마늘 갈매기살(300g),간편식품,445500
20260422,메밀소바 1세트 (면+육수),간편식품,437800
20260422,십이지신 썸머패치 1개 (48매입),생활용품,269460
20260422,국내산 인큐 애호박 1개,과채,131670
20260422,모기기피제 ''물지마''(60ml),생활용품,188500
20260422,벌레 물린데/쏘인데 '긁지마'(60ml),생활용품,214600
20260423,레이코 계란찜기 1개,주방용품,316000
20260423,벌집 양념 돼지껍데기 1팩(500g),간편식품,200600
20260423,염장 다시마 1개 (250g 내외),수산/정육,52470
20260423,육수한알 ''멸치'' (3g*40정),간편식품,227620
20260423,육수한알 ''홍게해물'' (3g*40정),간편식품,245590
20260423,육수한알 ''사골'' (3g*40정),간편식품,95840
20260424,염장 미역줄기 1팩 (250g 내외),수산/정육,103950
20260424,해바라기씨 튀김 (50g*4봉),간식/과자/떡,349000
20260424,교동 순살감자탕 1팩 (500g),간편식품,496070
20260424,문은희 진명란 1개 (400g),수산/정육,489500
20260425,"순수하고 진한 콩물 ""백태"" (1리터)",간편식품,269100
20260425,아보카도 1세트 (5개입),과채,217800
20260425,한라산 벌꿀스틱 선물세트(10포*2곽),건강식품,11500
20260425,국내산 고추장 뒷고기 1팩 (300g),간편식품,127330
20260425,찹쌀 누룽지팝 달콤한맛 1박스(12개입),간식/과자/떡,183540
20260425,기력보환 발효침향환 1세트(60환),건강식품,418600
20260426,바이탈플랜트 롤팬 - 라벤더,주방용품,658000
20260426,바이탈플랜트 롤팬 - 핑크,주방용품,0
20260426,바이탈플랜트 롤팬 - 퍼플,주방용품,188000
20260426,흑마늘 훈제오리 1팩(400g),간편식품,247170
20260426,티라미수 롤케이크(240g),간식/과자/떡,118800
20260426,올리브오일 식물성 캡슐 1통(30캡슐),건강식품,426300
20260426,비피더스 유산균 1곽 (30캡슐),건강식품,248400
20260426,막대 파인애플 (500g 내외),과채,136290
20260427,산양유 초유프로틴 (280g),건강식품,241800
20260427,교동관 왕갈비탕 1팩 (1kg),간편식품,2328400
20260427,해피홈 에어로솔 수성(500ml*3개),생활용품,309580
20260427,망고향 스테비아 방울토마토 500g,과채,9441970
20260428,제스프리 골드키위 (4알/소과),과채,385430
20260428,부처스나인 직화스테이크 1개(160g),간편식품,965200
20260428,빕스 오리지널 바베큐 폭립 (450g),간편식품,1075240
20260428,PDRN 콜라겐 젤리 미스트 100ml,뷰티,865400
20260428,시린메드 에프치약 1개(125g),생활용품,174500
20260428,시린메드 에프치약 1세트(125g*6개),생활용품,430920
20260429,대구 꿀 찹쌀떡 1세트 (240g*2팩),간식/과자/떡,491080
20260429,아삭한 콩나물 1팩 (300g),과채,88110
20260429,미스타셰프 부대찌개 1팩 (600g),간편식품,1122000
20260429,귀빈정 열무물김치 (1kg),과채,542200
20260429,귀빈정 열무김치 (1kg),과채,6900
20260429,콘드로이친 상어연골 프리미엄 1곽,건강식품,748500
20260430,저당 프로틴 '초코'(90ml*10개),건강식품,206700
20260430,저당 프로틴 '멜론'(90ml*10개),건강식품,142400
20260430,키즈 요플레 '딸기 '1곽(40g*6개),간식/과자/떡,208980
20260430,키즈 요플레 '포도' 1곽(40g*6개),간식/과자/떡,147260
20260430,알파시클로덱스트린 1곽 (3g*14포),건강식품,227400
20260430,국내산 왕바지락 1팩(1kg/60미내외),수산/정육,1298500
